Наименование;ИНН;Полное наименование;
Покупатели;;;
Поставщики;ИНН;Название;объем продаж
 ВСК САО;7710026574;"Страховое акционерное общество ""ВСК""";34567
АДРИА ФУД ООО;7724448294;"ООО ""АДРИА ФУД""";234567
Ай Пи Энерджи ООО;5406564705;"ООО ""АЙ ПИ ЭНЕРДЖИ""";213789
Алтайская крупа АО;2272003555;"Акционерное Общество ""Алтайская крупа""";76543
АЛЬТАИР ООО;7811577426;"ООО ""АЛЬТАИР""";34567
Америа Русс ООО;7727687452;"ООО ""Америа Русс"" ";445788
Аморе ООО;7731218573;"ООО ""АМОРЕ"" ";76655
Анисимова Елена Валерьевна;272422915948;ИП Анисимова Елена Валерьевна;887678
АПНП ООО;5029162910;"ООО ""АПНП""";563174,8571
АРИАДНА ООО;2543031100;"ООО ""АРИАДНА""";632653,881
АРМТОРГ ООО;7703411800;"ООО ""АРМТОРГ""";702132,9048
АРНИКА ООО;9729037020;"ООО ""АРНИКА""";771611,9286
Арта Групп Рус ООО;7714360996;"ООО ""Арта Групп Рус""";841090,9524
Артнат ООО;7736255473;"ООО ""Артнат""";910569,9762
АСАНД ООО;5001108824;"ООО ""АСАНД""";980049
АТД ООО;7724394507;АТД ООО;1049528,024
Атлас Авиа ООО;2724128746;"ООО ""АТЛАС АВИА"" ";1119007,048
АФОНСКИЙ САД ООО;7707361607;"ООО ""АФОНСКИЙ САД""";1188486,071
БАРИНОФФ ООО;5029191597;"ООО ""БАРИНОФФ""";1257965,095
БИОЛОДЖИК ООО;6671363010;"ООО""БИОЛОДЖИК""";1327444,119
БИОМЕКС ООО;7729743173;"ООО ""БИОМЕКС""";1396923,143
БИОСНЕК ООО;9715327699;"ООО ""БИОСНЕК""";1466402,167
Вавушков Сергей Анатольевич;272590439458;ИП Вавушков Сергей Анатольевич;1535881,19
Валидатор ООО;7727714762;"ООО ""Валидатор"" ";1605360,214
ВАРС ООО;4003031967;ВАРС ООО;1674839,238
Вега ООО;7801549677;"ООО ""Вега""";1744318,262
ВЕЛИЙ ООО;2723185237;"ООО ""ВЕЛИЙ""";1813797,286
ВИАНГ ООО;2539047637;"ООО ""ВИАНГ""";1883276,31
ВИКТОРИЯ ООО;7702379008;"ООО ""ВИКТОРИЯ""";1952755,333
Возрождение ООО;9102059673;"ООО ""Возрождение""";2022234,357
Все для склаДА  ООО;2536265203;"Общество с ограниченной ответственностью ""Все для склаДА""";2091713,381
ГЕРАЛЬТ ООО;7710531859;ГЕРАЛЬТ ООО;2161192,405
Гранд-Стар ООО;2311046562;"ООО ""Гранд-Стар"" ";2230671,429
ГРИН ЛАЙН ООО;7713750263;"ООО ""ГРИН ЛАЙН""";2300150,452
ГУРМАЙОР ООО;7723925360;"ООО ""ГУРМАЙОР""";2369629,476
ДАЙНОПТ ООО;7721751461;"ООО ""ДАЙНОПТ""";2439108,5
Дальфарма ООО;2722000170;"ООО ""ДАЛЬФАРМА""";2508587,524
ДЕЛОВЫЕ ЛИНИИ ООО;7826156685;"ООО""ДЕЛОВЫЕ ЛИНИИ""";2578066,548
Джетрико ООО;7705627996;"ООО ""ДЖЕТРИКО"" ";2647545,571
ДИВЕРСУС ТД ООО;7704389322;"ООО ""ТД ""ДИВЕРСУС""";2717024,595
ДиетМаркет;7802811870;"ООО ""ДиетМаркет""";2786503,619
Доброе Поле ООО;7743949232;"ООО ""ДОБРОЕ ПОЛЕ"" ";2855982,643
Домашний Вкус ООО;7720237133;"ООО ""Домашний Вкус"" ";2925461,667
"ЗАО ""Сервер-Центр""";2539038819;"Закрытое Акционерное Общество ""Сервер-Центр""";2994940,69
ИКС-ИГРЕК ГРУП ООО;7722827522;"ООО ""ИКС-ИГРЕК ГРУПП"" ";3064419,714
Иль Мио Мороженко ООО;7725692792;"ООО ""Иль Мио Мороженко""";3133898,738
Империя Подсолнуха ООО;3917046442;"ООО ""Империя Подсолнуха"" ";3203377,762
ИНТЕГРИТА;5027163876;"ООО ""Компания ""ИНТЕГРИТА""";3272856,786
ИНТЭК ООО;2721194420;"ООО ""ИНТЭК""";3342335,81
ИП Анисимов Евгений Олегович;272403545603;Индивидуальный Предприниматель Анисимов Евгений Олегович;3411814,833
ИП Баженов Я.И.;270600758886;Индивидуальный Предприниматель Баженов Я.И.;3481293,857
ИП Деменок А.А.;272390411462;Индивидуальный Предприниматель Деменок А.А.;3550772,881
ИП Дортман Анастасия Олеговна;272390411462;Индивидуальный Предприниматель Дортман Анастасия Олеговна;3620251,905
ИП Заец Сергей Федорович;272310702652;ИП Заец Сергей Федорович;3689730,929
ИП Кузьмин Максим Игоревич;772074877724;ИП Кузьмин Максим Игоревич;3759209,952
ИП Кучин В.В.;440109283836;Индивидуальный Предприниматель Кучин Василий Валентинович;3828688,976
ИП Мелихов А.В.;272006754470;Индивидуальный Предприниматель Мелихов Алексей Викторович;3898168
ИП Мельников Г.П.;2727003447;Индивидуальный Предприниматель Мельников Григорий Павлович;3967647,024
ИП Мирошниченко Т.Ю.;272006754470;Индивидуальный Предприниматель Мирошниченко Татьяна Юрьевна;4037126,048
ИП Мисникова Елена Викторовна;272505404601;Индивидуальный Предприниматель Мисникова Елена Викторовна;4106605,071
ИП Моисеенко Дмитрий Владимирович;272326034778;ИП Моисеенко Д.В.;4176084,095
ИП Нерубенко Александр Викторович;272404689904;Индивидуальный Предприниматель Нерубенко Александр Викторович;4245563,119
ИП Пятков Евгений Владимирович;272513419577;Индивидуальный Предприниматель Пятков Евгений Владимирович;4315042,143
ИП Расторгуева Н.В.;272202506040;ИП Расторгуева Н.В.;4384521,167
ИП Сахлеян Эдгар Артурович;272402770331;Индивидуальный Предприниматель Сахлеян Э.А.;4454000,19
ИП Ступницкий Станислав Викторович;143524264364;ИП Ступницкий Станислав Викторович;4523479,214
ИП Фуфаев Игорь Сергеевич;253402574390;ИП Фуфаев Игорь Сергеевич;4592958,238
ИТАЛ СИТИ ФУД ООО;7729756430;"ООО ""ИТАЛ СИТИ ФУД""";4662437,262
Квадрат ООО;2540192950;"ООО ""Квадрат"" ";4731916,286
К-К Трейдинг ООО;7725401605;"ООО ""К-К Трейдинг""";4801395,31
КЛР ООО;7731452742;"ООО ""КЛР""";4870874,333
Компания РичАрт ООО;7716739010;"ООО ""Компания РичАрт""";4940353,357
КОНСЬЮМЕР ХОЛДИНГС ООО;7725384540;"ООО ""КОНСЬЮМЕР ХОЛДИНГС""";5009832,381
КОНТИНЕНТАЛЬ ООО;7726403595;КОНТИНЕНТАЛЬ ООО;5079311,405
"КОРПОРАЦИЯ ""ГУСТУС ООО";7805577636;"КОРПОРАЦИЯ ""ГУСТУС ООО";5148790,429
КофеКит  ООО;7713611870;"ООО ""КофеКит"" ";5218269,452
КРАШЕНКА ООО;5050131819;"ООО ""КРАШЕНКА""";5287748,476
КРИСТАЛЛИТ ООО;7716580130;"ООО ""КРИСТАЛЛИТ""";5357227,5
КС Русь-Сибирь ООО;5406740326;"ООО ""КС Русь-Сибирь"""" ";5426706,524
Ксензовская С.Б. ИП;2540025836;Ксензовская С.Б. ИП;5496185,548
Ксензовская Светлана Борисовна;254002583666;ИП Ксензовская Светалана Борисовна;5565664,571
КФ Кронштадтская ООО;7843003738;"ООО ""КФ ""Кронштадтская""";5635143,595
Л.АРГО АО;7706029903;"АО ""Л.АРГО""";5704622,619
ЛАБИРИНТ ДИСТРИБУЦИЯ ООО;6714049450;"ООО ""ЛАБИРИНТ ДИСТРИБУЦИЯ""";5774101,643
ЛАКТИС АО;5321034579;"АО ""ЛАКТИС""";5843580,667
Лекарь ООО;2724236773;"ООО ""Лекарь""";5913059,69
ЛЮКСТОРГ ООО;7716773364;"Общество с ограниченной ответственностью ""ЛЮКСТОРГ""";5982538,714
МАГ ООО;7727037599;"ООО ""МАГ"" ";6052017,738
МАГЕН-Д ООО;7719784910;"Общество с ограниченной ответственностью ""МАГЕН-Д""";6121496,762
МАКСИМА ООО ТК;7704314599;"ООО ТК ""МАКСИМА""";6190975,786
Максима СПБ ООО;7811688493;"ООО ""Максима-СПБ""";6260454,81
МАЛАХИТ ООО;7735155652;"ООО ""МАЛАХИТ"" ";6329933,833
МАРР РУССИЯ ООО;7729409940;"ООО ""МАРР РУССИЯ""";6399412,857
Мастер-Трейд Опт ООО;2724200495;"ООО ""Мастер-Трейд ОПТ"" ";6468891,881
Милк Репаблик  ООО;7727842066;"ООО ""Милк Репаблик"" ";6538370,905
МИЛКБОКС ООО;7714934270;"ООО ""МИЛКБОКС""";6607849,929
МИР УПАКОВКИ ООО;2721066643;"ООО ""МИР УПАКОВКИ""";6677328,952
Мистерия ООО;7707133576;"ООО ""Мистерия"" ";6746807,976
Михолап Екатерина Сергеевна;272591506805;ИП Михолап Екатерина Сергеевна;6816287
Мобильные ТелеСистемы ПАО;7740000076;ПАО Мобильные ТелеСистемы;6885766,024
МОДЖИ АЙС КРИМ ООО;7709969398;"ООО ""МОДЖИ АЙС КРИМ"" ";6955245,048
МОНКАСА ООО;7731582050;"ООО ""МОНКАСА"" ";7024724,071
Морозко-М ООО;7726732600;"ООО ""Морозко-М"" ";7094203,095
МРК ООО;7728343006;"ООО ""МРК""";7163682,119
МЯСО КОМБИНАТ ПАВЛОВСКАЯ СЛОБОДА ООО;5017041244;"ООО МЯСОКОМБИНАТ ""ПАВЛОВСКАЯ СЛОБОДА""";7233161,143
Наш сезон ООО;7724378960;"ООО ""Наш сезон"" ";7302640,167
НОВЫЕ ТЕХНОЛОГИИ ООО;7107075770;"ООО  ""НОВЫЕ ТЕХНОЛОГИИ""";7372119,19
НОРЕБО РУ АО;5190908693;"АО ""НОРЕБО РУ""";7441598,214
"ООО ""АВСТРАЛИАН ГРУПП""";7722473055;"ООО ""АВСТРАЛИАН ГРУПП""";7511077,238
"ООО ""АЛЬТЕР""";2723183046;"ООО ""АЛЬТЕР""";7580556,262
"ООО ""АРХСТРОЙ""";2723163321;"ООО ""АРХСТРОЙ""";7650035,286
"ООО ""Баланс ДВ""";2721127381;"ООО ""Баланс ДВ""";7719514,31
"ООО ""БЕЛЬГИЙСКИЕ ДЕЛИКАТЕСЫ""";5027124676;"ООО ""БЕЛЬГИЙСКИЕ ДЕЛИКАТЕСЫ""";7788993,333
"ООО ""Бельфегор""";2723155169;"ООО ""Бельфегор""";7858472,357
"ООО ""ВЕСТА МЕЙН""";7704224560;"ООО ""ВЕСТА МЕЙН""";7927951,381
"ООО ""Группа Омега""";7728773545;"ООО ""Группа Омега""";7997430,405
"ООО ""ДАЛЬАВИАЭКСПРЕСС""";2724088074;"ООО ""ДАЛЬАВИАЭКСПРЕСС""";8066909,429
"ООО ""ДВСМАРТ""";2721231495;"ООО ""ДВСМАРТ""";8136388,452
"ООО ""Деталь-ДВ""";2723180648;"ООО ""Деталь-ДВ""";8205867,476
"ООО ""ДСК-Хабаровск""";2721218254;"ООО ""ДСК-Хабаровск""";8275346,5
"ООО ""ДТК""";2724189361;"ООО ""ДТК""";8344825,524
"ООО ""Зеленый Город""";7727843951;"ООО""Зеленый город""";8414304,548
"ООО ""Компания ГРЕНКОВЪ""";7728827751;"ООО ""Компания ГРЕНКОВЪ""";8483783,571
"ООО ""Корпорация Витесс""";7729733908;"ООО ""Корпорация Витесс""""";8553262,595
"ООО ""ЛА МАММА""";2543100210;"ООО ""ЛА МАММА""";8622741,619
"ООО ""Лион Трейд""";7810580070;"ООО ""Лион Трейд""";8692220,643
"ООО ""Логистик-В""";9729167974;"ООО ""Логистик-В""";8761699,667
"ООО ""МЕГАГРУПП""";7839495580;"ООО ""МЕГАГРУПП""";8831178,69
"ООО ""МИКСБЕТОН""";2722129060;"ООО ""МИКСБЕТОН""";8900657,714
"ООО ""МИР ПРАЗДНИКА""";7843316956;"ООО ""МИР ПРАЗДНИКА""";8970136,738
